カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
81,モグリュー,SV8a,083/187,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,すなしぶき,闘●,20,n/a
82,ドリュウズ,SV5M,040/071,ポケモン/1進化,n/a,n/a,モグリュー,130,闘,草,n/a,2,マッドショット,●,20,n/a
82,ドリュウズ,SV5M,040/071,ポケモン/1進化,n/a,n/a,モグリュー,130,闘,草,n/a,2,ワイルドタックル,闘闘●,180,このポケモンにも50ダメージ。
83,リキキリンex,MC,486/742,ポケモン/1進化,ex,テラスタル(あく),キリンリキ,260,悪,草,n/a,2,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
83,リキキリンex,MC,486/742,ポケモン/1進化,ex,テラスタル(あく),キリンリキ,260,悪,草,n/a,2,[特性]テイルアーマー,n/a,n/a,このポケモンは、相手の【たね】ポケモンの「ポケモン【ex】」からワザのダメージを受けない。
83,リキキリンex,MC,486/742,ポケモン/1進化,ex,テラスタル(あく),キリンリキ,260,悪,草,n/a,2,ダーティビーム,超●●,160,相手のベンチポケモン1匹にも、30ダメージ。［ベンチは弱点・抵抗力を計算しない。］
84,ハッサムex,MC,492/742,ポケモン/1進化,ex,n/a,ストライク,270,鋼,炎,草,2,はがねのつばさ,●●,70,次の相手の番、このポケモンが受けるワザのダメージは「-50」される。
84,ハッサムex,MC,492/742,ポケモン/1進化,ex,n/a,ストライク,270,鋼,炎,草,2,クロスブレイカー,鋼鋼,120×,このポケモンについている【鋼】エネルギーを2枚までトラッシュし、その枚数×120ダメージ。
85,ダンバル,MC,496/742,ポケモン/たね,n/a,n/a,n/a,70,鋼,炎,草,1,ツメをたてる,鋼,10,n/a
85,ダンバル,MC,496/742,ポケモン/たね,n/a,n/a,n/a,70,鋼,炎,草,1,アイアンタックル,鋼●●,50,このポケモンにも10ダメージ。
86,メタング,MC,497/742,ポケモン/1進化,n/a,n/a,ダンバル,100,鋼,炎,草,2,[特性]メタルメーカー,n/a,n/a,自分の番に1回使える。自分の山札を上から4枚見て、その中から「基本【鋼】エネルギー」を好きなだけ選び、自分のポケモンに好きなようにつける。残りのカードはすべてウラにして切り、山札の下にもどす。
86,メタング,MC,497/742,ポケモン/1進化,n/a,n/a,ダンバル,100,鋼,炎,草,2,ビーム,鋼●●,60,n/a
87,ミライドン,MC,552/742,ポケモン/たね,n/a,未来,n/a,110,竜,n/a,n/a,2,アクセルピーク,●,40,自分の山札から基本エネルギーを2枚まで選び、自分の「未来」のポケモンに好きなようにつける。そして山札を切る。
87,ミライドン,MC,552/742,ポケモン/たね,n/a,未来,n/a,110,竜,n/a,n/a,2,スパーキングアタック,雷雷超,160,n/a
88,バルビート,SV6,004/101,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,ファストサイン,●,n/a,このワザは、先攻プレイヤーの最初の番でも使える。自分の山札から【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。
88,バルビート,SV6,004/101,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,れんけいアタック,●●,20,自分のベンチに「イルミーゼ」がいるなら、60ダメージ追加。
89,サルノリ,SV8a,006/187,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,けとばす,草,10,n/a
89,サルノリ,SV8a,006/187,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,えだづき,草草,30,n/a
90,バチンキー,SV8a,007/187,ポケモン/1進化,n/a,n/a,サルノリ,100,草,炎,n/a,2,[特性]ドンドンだいこ,n/a,n/a,自分のバトルポケモンが特性「おまつりおんど」を持つポケモンなら、自分の番に1回使える。自分の山札から好きなカードを1枚選び、手札に加える。そして山札を切る。
90,バチンキー,SV8a,007/187,ポケモン/1進化,n/a,n/a,サルノリ,100,草,炎,n/a,2,たたく,草草,50,n/a
91,ゴリランダー,SV6,010/101,ポケモン/2進化,n/a,n/a,バチンキー,180,草,炎,n/a,4,ドラムアタック,草,60,次の相手の番、このワザを受けたポケモンは、ワザを使うためのエネルギーと【にげる】ためのエネルギーが、それぞれ【無】エネルギー1個ぶん多くなる。
91,ゴリランダー,SV6,010/101,ポケモン/2進化,n/a,n/a,バチンキー,180,草,炎,n/a,4,ウッドハンマー,草草,180,このポケモンにも50ダメージ。
92,カジッチュ,SV6,011/101,ポケモン/たね,n/a,n/a,n/a,40,草,炎,n/a,1,ローリングアタック,草,10,コインを1回投げオモテなら、20ダメージ追加。
93,カミッチュ,SV8a,009/187,ポケモン/1進化,n/a,n/a,カジッチュ,80,草,炎,n/a,2,[特性]おまつりおんど,n/a,n/a,場に「お祭り会場」が出ているなら、このポケモンは、持っているワザを2回連続で使える。（1回目のワザで相手のバトルポケモンが【きぜつ】したなら、次のバトルポケモンが出たあと、2回目のワザを使う。）
93,カミッチュ,SV8a,009/187,ポケモン/1進化,n/a,n/a,カジッチュ,80,草,炎,n/a,2,ともだちのわ,草,20×,自分のベンチポケモンの数×20ダメージ。
94,ヤバソチャ,SV8a,018/187,ポケモン/1進化,n/a,n/a,チャデス,70,草,炎,n/a,1,のろいのしずく,草,n/a,ダメカン4個を、相手のポケモンに好きなようにのせる。
94,ヤバソチャ,SV8a,018/187,ポケモン/1進化,n/a,n/a,チャデス,70,草,炎,n/a,1,ぶちまけちゃ,草,70×,自分の場のポケモンについている【草】エネルギーを3枚までトラッシュし、その枚数×70ダメージ。
95,オーガポン みどりのめん,MC,080/742,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,1,やまあるき,●,n/a,自分の山札から基本エネルギーを2枚まで選び、相手に見せて、手札に加える。そして山札を切る。
95,オーガポン みどりのめん,MC,080/742,ポケモン/たね,n/a,n/a,n/a,110,草,炎,n/a,1,おにがえし,草●,20,相手のベンチポケモンの数×20ダメージ追加。
96,オーガポン みどりのめんex,MC,082/742,ポケモン/たね,ex,テラスタル(くさ),n/a,210,草,炎,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
96,オーガポン みどりのめんex,MC,082/742,ポケモン/たね,ex,テラスタル(くさ),n/a,210,草,炎,n/a,1,[特性]みどりのまい,n/a,n/a,自分の番に1回使える。自分の手札から「基本【草】エネルギー」を1枚選び、このポケモンにつける。その後、自分の山札を1枚引く。
96,オーガポン みどりのめんex,MC,082/742,ポケモン/たね,ex,テラスタル(くさ),n/a,210,草,炎,n/a,1,まんようしぐれ,草草草,30,おたがいのバトルポケモンについているエネルギーの数×30ダメージ追加。
97,ヒトモシ,SV6,019/101,ポケモン/たね,n/a,n/a,n/a,60,炎,水,n/a,1,なかまをよぶ,炎,n/a,自分の山札から【たね】ポケモンを1枚選び、ベンチに出す。そして山札を切る。
97,ヒトモシ,SV6,019/101,ポケモン/たね,n/a,n/a,n/a,60,炎,水,n/a,1,ひだね,炎●,20,n/a
98,シャンデラ,SV6,021/101,ポケモン/2進化,n/a,n/a,ランプラー,130,炎,水,n/a,2,[特性]いざなうあかり,n/a,n/a,自分の番に1回使える。おたがいのプレイヤーは、それぞれ山札を1枚引く。
98,シャンデラ,SV6,021/101,ポケモン/2進化,n/a,n/a,ランプラー,130,炎,水,n/a,2,マインドルーラー,炎,30×,相手の手札の枚数×30ダメージ。
99,オーガポン かまどのめんex,MC,149/742,ポケモン/たね,ex,テラスタル(ほのお),n/a,210,炎,水,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
99,オーガポン かまどのめんex,MC,149/742,ポケモン/たね,ex,テラスタル(ほのお),n/a,210,炎,水,n/a,1,いかりがま,炎●●,20×,このポケモンにのっているダメカンの数×20ダメージ。
99,オーガポン かまどのめんex,MC,149/742,ポケモン/たね,ex,テラスタル(ほのお),n/a,210,炎,水,n/a,1,ダイナミックブレイズ,炎炎炎,140,相手のバトルポケモンが進化ポケモンなら、140ダメージ追加。その場合、このポケモンについているエネルギーを、すべてトラッシュする。
100,トサキント,SV8a,028/187,ポケモン/たね,n/a,n/a,n/a,50,水,雷,n/a,1,[特性]おまつりおんど,n/a,n/a,場に「お祭り会場」が出ているなら、このポケモンは、持っているワザを2回連続で使える。（1回目のワザで相手のバトルポケモンが【きぜつ】したなら、次のバトルポケモンが出たあと、2回目のワザを使う。）
100,トサキント,SV8a,028/187,ポケモン/たね,n/a,n/a,n/a,50,水,雷,n/a,1,うずしお,●●,10,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。
101,ルージュラ,SV6,028/101,ポケモン/たね,n/a,n/a,n/a,90,水,鋼,n/a,1,おさそいキッス,●,n/a,自分の山札から【たね】ポケモンを1枚選び、ベンチに出す。そして山札を切る。その後、このポケモンについているエネルギーを1個選び、新しく出したポケモンにつけ替える。
101,ルージュラ,SV6,028/101,ポケモン/たね,n/a,n/a,n/a,90,水,鋼,n/a,1,スノーアイス,水,30,n/a
102,ミロカロス,SV8a,036/187,ポケモン/1進化,n/a,n/a,ヒンバス,120,水,雷,n/a,1,[特性]なぎのきょうち,n/a,n/a,このポケモンがいるかぎり、相手の場のポケモンと、そのポケモンについているすべてのカードは、手札にもどせない。
102,ミロカロス,SV8a,036/187,ポケモン/1進化,n/a,n/a,ヒンバス,120,水,雷,n/a,1,ハイドロスプラッシュ,水●●,100,n/a
103,ユキワラシ,MC,186/742,ポケモン/たね,n/a,n/a,n/a,60,水,鋼,n/a,1,おどろかす,水●,20,相手の手札からオモテを見ないで1枚選び、そのカードのオモテを見て、相手の山札にもどして切る。
104,ユキメノコ,SV8a,038/187,ポケモン/1進化,n/a,n/a,ユキワラシ,90,水,鋼,n/a,1,[特性]いてつくとばり,n/a,n/a,このポケモンがいるかぎり、ポケモンチェックのたび、おたがいの特性を持つポケモン（「ユキメノコ」をのぞく）全員に、それぞれダメカンを1個のせる。
104,ユキメノコ,SV8a,038/187,ポケモン/1進化,n/a,n/a,ユキワラシ,90,水,鋼,n/a,1,フロストスマッシュ,水●,60,n/a
105,ナミイルカ,MC,214/742,ポケモン/たね,n/a,n/a,n/a,70,水,雷,n/a,1,アクアスラッシュ,水,30,次の自分の番、このポケモンはワザが使えない。
106,イルカマン,MC,215/742,ポケモン/1進化,n/a,n/a,ナミイルカ,100,水,雷,n/a,1,[特性]マイティチェンジ,n/a,n/a,自分の番に、このポケモンがバトル場からベンチにもどったとき、1回使える。自分の山札から「イルカマン【ex】」を1枚選び、このカードと入れ替える（ついているカード・ダメカン・特殊状態・効果などは、すべて引きつぐ）。入れ替えたなら、このカードは山札にもどす。そして山札を切る。
106,イルカマン,MC,215/742,ポケモン/1進化,n/a,n/a,ナミイルカ,100,水,雷,n/a,1,スプラッシュ,水●,30,n/a
107,イルカマンex,MC,216/742,ポケモン/1進化,ex,n/a,ナミイルカ,340,水,雷,n/a,2,[特性]マイティソウル,n/a,n/a,このカードは、「イルカマン」の特性「マイティチェンジ」の効果によってしか場に出せない。
107,イルカマンex,MC,216/742,ポケモン/1進化,ex,n/a,ナミイルカ,340,水,雷,n/a,2,ギガインパクト,水,250,次の自分の番、このポケモンはワザが使えない。
108,オーガポン いどのめんex,MC,224/742,ポケモン/たね,ex,テラスタル(みず),n/a,210,水,雷,n/a,1,テラスタル,n/a,n/a,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。
108,オーガポン いどのめんex,MC,224/742,ポケモン/たね,ex,テラスタル(みず),n/a,210,水,雷,n/a,1,すすりなく,●,20,次の相手の番、このワザを受けたポケモンは、にげられない。
108,オーガポン いどのめんex,MC,224/742,ポケモン/たね,ex,テラスタル(みず),n/a,210,水,雷,n/a,1,げきりゅうポンプ,水●●,100,のぞむなら、このポケモンについているエネルギーを3個選び、山札にもどして切る。その場合、相手のベンチポケモン1匹にも、120ダメージ。［ベンチは弱点・抵抗力を計算しない。］
109,ケーシィ,SV8a,057/187,ポケモン/たね,n/a,n/a,n/a,40,超,悪,闘,1,[特性]テレポーター,n/a,n/a,このポケモンがバトル場にいるなら、自分の番に1回使える。このポケモンと、ついているすべてのカードを、自分の山札にもどして切る。
109,ケーシィ,SV8a,057/187,ポケモン/たね,n/a,n/a,n/a,40,超,悪,闘,1,ビーム,超,10,n/a
110,ペロリーム,SV6,052/101,ポケモン/1進化,n/a,n/a,ペロッパフ,120,超,鋼,n/a,2,ペロペロリン,超●,90×,コインを2回投げ、オモテの数×90ダメージ。すべてウラなら、相手のバトルポケモンを【こんらん】にする。
111,スナバァ,SV6,053/101,ポケモン/たね,n/a,n/a,n/a,90,超,悪,闘,3,すなかけ,超,10,次の相手の番、このワザを受けたポケモンがワザを使うとき、相手はコインを1回投げる。ウラならそのワザは失敗。
111,スナバァ,SV6,053/101,ポケモン/たね,n/a,n/a,n/a,90,超,悪,闘,3,ホロウショット,超●●,30,n/a
112,マシマシラ,MC,358/742,ポケモン/たね,n/a,n/a,n/a,110,超,悪,闘,1,[特性]アドレナブレイン,n/a,n/a,このポケモンに【悪】エネルギーがついているなら、自分の番に1回使える。自分の場のポケモン1匹にのっているダメカンを3個まで選び、相手の場のポケモン1匹にのせ替える。
112,マシマシラ,MC,358/742,ポケモン/たね,n/a,n/a,n/a,110,超,悪,闘,1,サイコトリップ,超●,60,相手のバトルポケモンを【こんらん】にする。
